15,26.1,24.1,23.6,25.1,24,18.8,17.5
46,26.7,24.8,24.3,25.8,24.8,19.4,18
81,27.4,25.4,25,26.5,25.6,19.9,18.5
91,27.8,25.9,24.8,26.2,26.2,18.9,18.4
121,28.2,26.5,24.5,26,26.7,17.9,18.3
157,28.3,26.5,25.7,25.4,24,18,17.4
198,26,23.5,22.9,25.1,24.4,18.6,18
229,17.1,18.4,19.5,23.1,22.1,14.7,12.7
254,19.6,19.2,17.5,21.3,20.7,11.3,10.4
297,16.6,16.9,16.9,19.8,19.6,13.5,11.5
323,16.8,17.5,18.3,19.8,19.2,14.9,15.3
352,23.9,23.4,19.8,18.1,17.3,10.4,12.5
377,21.9,23.4,23.2,21.9,17.7,12,12.4
391,23.4,23.7,23.5,25.5,23.5,16.4,21.9
424,26.9,23.7,23,25,24.4,17.2,15.2
432,25.8,24.4,24.3,25.2,23.3,19.3,25.3
448,28.1,26.4,25.5,25.8,24.8,18.3,17.1
461,28.8,26.9,24.1,25.6,24.9,17.6,15.6
484,27.1,25.6,24.8,26.2,24.7,18.4,15.9
494,28.5,26,23.8,25.4,25,19,14.7
512,28.8,26.7,23.4,24.4,23.1,16.7,11.4
520,26.9,24.8,24.2,26,25,18.3,16.6
531,28.6,26.5,25.2,24.9,23.9,17.3,14.9
547,26.9,24.1,23.4,24.5,24,17.7,17.7
575,24.4,22.1,20.5,23.2,23.1,22.4,14.4
587,23.2,23.5,21.9,23,22.6,16.9,14.4
601,20.4,19.7,21,22.1,21.8,14.4,12.4
614,18.4,17.8,20.2,22,21.6,16.9,12.7
629,17.6,18.1,19.3,20.7,20.4,15,16.3
642,15.9,17,18.9,19.4,16.5,14.6,11.6
656,20.5,19.7,18.4,19.1,18.8,14.8,16.9
672,18.9,18.5,18.2,18.7,17.9,12,13.1
685,20.5,21.7,20.4,20.4,18.1,13.6,11.5
698,16.1,18.8,18.7,19.9,19.2,12.1,9
712,21.3,18.7,18.6,19.4,18.2,13.5,12.1
743,23.1,22.1,21,20.9,18.6,13.6,11.4
758,25.7,23.7,20.9,20.7,18.6,12.4,11
769,25.5,24.6,23.7,23,16.8,11.5,8.6
783,25.9,25,24.7,26,24.4,12.5,10.5
799,27.2,25.8,25.6,25.8,23,18.8,9.4
810,25.1,24.5,24.3,25.7,25,18,14.4
823,28.2,27,26.5,26.3,24.8,18.9,15.7
837,26.6,25.3,24.5,25.2,24.1,18.7,12.2
859,26.5,25,23.4,25.8,26.2,17,13.9
877,24.3,23.3,22,24.1,23.3,14.6,10.8
887,25.2,23.8,23,24.9,24.8,18.4,17.7
908,25.7,22.9,22,25.2,25,17.8,13.6
926,25.4,22.3,22.8,25,24.5,21.1,16.3
936,19.3,18.8,20.1,23.2,21.8,19.4,9.5
964,20.6,18.7,18.4,21.4,21.8,14.4,13
997,17.5,17.5,20.1,21.1,18.5,10.5,9.8
1031,17,17.8,17.6,17.8,17.8,15.7,12.5
1054,17.4,18,18.5,19.9,19.6,13.4,11
1084,21.2,15.5,18.3,18.7,19.2,16.9,14.9
