15,23.3,23.3,22.2,22.5,24.1,,
46,24.2,24.1,22.8,23,24.7,,
81,23.9,24.1,22.9,23.8,25.7,,
91,24.6,24.5,23.2,23.7,25.5,,
121,25.2,24.9,23.4,23.6,25.3,,
157,25.7,26.1,25,23.4,23.9,,
198,23.3,23.1,21.9,22,24.4,,
229,12.5,16.6,18,19.7,22.4,,
254,14.3,16.6,16,17.9,20.7,,
297,11.4,15.3,15.6,14.3,18,,
323,12.2,15.9,17.2,17.2,19,,
352,20.7,23.1,20.4,15.9,18,,
377,18.3,21.5,21.4,20.2,18.3,,
391,17.6,21.5,20.6,19.4,18.5,,
424,18.6,19.6,19.7,19.4,19.8,,
432,15.9,18.7,19.2,19.1,20,,
448,19.8,20.5,18.4,18.1,17.5,,
461,19.2,20.4,19.9,18.9,19,,
484,19.9,21.1,20.2,19.1,20.1,,
494,21.1,20.1,18,18.7,19.9,,10.3
512,22.3,18.1,18.9,19.2,20.1,,10
520,18,18.3,19.1,19,18,,15.3
531,19,17.2,18.9,15.1,16.1,,8.8
547,16.8,19.3,18.4,17.7,17.3,,11.2
575,14.9,17.8,16.8,17.5,16.9,,14
587,14.5,16.6,17.4,17,18.9,,16.7
601,12,16,16.7,16.4,18.7,,11.4
614,11.9,15.1,16.7,15.1,19.1,,10.4
629,11.8,15.3,16.2,16.3,18.2,,10.4
642,11.5,14.7,16.1,17.1,16.2,,7.5
656,17,18.5,15.6,17.2,15.6,,14.1
672,12.2,14.1,15.7,15.3,17.1,,7.2
685,11.3,15.3,16,16.5,17.8,,7.8
698,12.3,15.2,16.2,15.9,17.9,,8.2
712,13.1,15.6,15.8,16,17.7,,8.3
743,11.3,15.5,15.2,14.7,16,,7.5
758,13.4,15.2,15.8,14.7,17.3,,7.7
769,17.2,19,17.5,14.3,16.6,,7.9
783,14.1,18.7,18.3,17.2,18.1,,6.5
799,15.8,19.5,17.7,19.1,17.4,,6.3
810,13.3,17.8,18.7,17,19,,6.3
823,18.2,20.8,20.3,19.1,20.2,,12.7
837,14.5,18.6,19,17.9,19.5,,9.2
859,16.6,20.7,19.5,18.5,19.2,,9.8
877,13.8,17.3,18.9,17.7,16.2,,9
887,13.4,17.8,18.9,18,18.3,,9.8
908,13.1,18.4,18.9,18.3,20.2,,10.5
926,13,18.1,17.4,17,20.1,,10.9
936,7.8,12.1,13.3,14.7,17.1,,8.3
964,11.7,10,16,16,17.2,,8.3
997,15.2,13.2,17.1,17.4,18.2,,13.3
1031,12.2,15.1,14.2,16.1,18.1,,8.1
1054,10.6,15.4,16.6,17.1,18.2,,10.1
1084,8,13.8,16.8,14.8,16.4,,15.7
